,Name,Medals
354,Jutta Kirst (Krautwurst-),1
355,Antal Kiss,1
356,Ulrike Klapezynski-Bruns,1
357,Joln Kleiber-Kontsek,1
358,Romuald Iosifovich Klim,2
359,Inta Kimovia (-Drvia),1
360,Karlheinz Klotz,1
361,Ewa Kobukowska,2
362,Andreas Knebel,1
363,Beate Koch,1
364,Marita Koch (-Meier),2
365,Peter Koech,1
366,Manfred Kokot,1
367,Nikolay Vasilyevich Kolesnikov,1
368,Nadezhda Leonidovna Kolesnikova-Ilyina,1
369,Tatyana Alekseyevna Kolpakova (-Abbyasova),1
370,Wadysaw Komar,1
371,Vera Yakovlevna Komisova (Nikitina-),2
372,Lyudmila Andreyevna Kondratyeva (-Sedykh),2
373,Julius Korir,1
374,Seppo Tapio Aleksanteri Korjus,1
375,Aleksandr Olegovich Kornelyuk,1
376,"Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",1
377,Annamria Kovcs-Tth,1
378,Aleksandr Yuryevich Kovalenko,1
379,Wadysaw Kozakiewicz,1
380,Valentyna Vasylivna Kozyr (-Avilova),1
381,Jarmila Kratochvlov,1
382,Guido Kratschmer,1
383,"Christiane Krause (-Stallasch, -Todd)",1
384,Viktor Petrovich Kravchenko,1
385,Lothar Michael Krieg,1
386,"Annegret ""Anne"" Kroniger (-Boller-, -Wolf)",1
387,Barbara Krug,1
388,Vladimir Valentinovich Krylov,1
389,Bodo Johannes Kuhn,1
390,"Rita Khne (-Andrich, -Schiemann)",1
391,Dainis Kla,1
392,Gergely Kulcsr,2
393,Hansjrg Kunze,1
394,Olga Vitalyevna Kuragina (Nemogayeva-),1
395,Klaus-Dieter Kurrat,1
396,Yury Mikhaylovich Kutsenko,1
397,Volodymyr Viktorovych Kyselov,1
398,Bernard Laidebeur,1
399,Jennifer Frances Lamy (-Frank),1
400,Marita Lange,1
401,Lucyna Langer (-Kaek),1
402,Sonia May Lannaman (-Garmston),1
403,Igor Olegovich Lapshin,1
404,"Michael Denny ""Mike"" Larrabee",2
405,"David Lester ""Dave"" Laut",1
406,Albert Lawrence,1
407,Lillie Mae Leatherwood (-King),2
408,"Nataliya Vasilyevna Lebedeva (-Suprun, -Monastyrskaya)",1
409,Tatyana Mikhaylovna Ledovskaya,2
410,Klaus Lehnertz,1
411,Nicole Leistenschneider (-Mikisch),1
412,Antnio Carlos Carvalho Nogueira Leito,1
413,Silvio Leonard Sarra,1
414,Tatyana Dmitriyevna Lesovaya (Starodubtseva-),1
415,"Frederick Carlton ""Carl"" Lewis",7
416,"Steven Earl ""Steve"" Lewis",2
417,Li Meisu,1
418,Zenon Licznerski,1
419,"Ilse Kristiina ""Tiina"" Lillak",1
420,Harold Blaine Lindgren,1
421,Dieter Lindner,1
422,Mikhail Innokentyevich Linge,1
423,Karel Lismont,2
424,Nataliya Venediktovna Lisovskaya (-Sedykh),1
425,Sergey Nikolayevich Litvinov,2
426,Jorge Llopart Ribas,1
427,Mihaela Loghin,1
428,"Dallas Crutcher Long, III",1
429,Carlos Alberto de Sousa Lopes,2
430,Claudia Losch,1
431,Ingrid Lotz (Eichmann-),1
432,Lzr Lovsz,1
433,Vladimir Nikolayevich Lovetsky,1
434,Fia Lovin (Rafira-),1
435,Gabriele Lwe (Kotte-),1
436,Ralf Lbke,1
437,Jnis Lsis,3
438,Leonid Dmytrovych Lytvynenko,1
439,Kaarlo Hannes Maaninka,2
440,Linsey Tarrel MacDonald,1
441,Joseph Mahmoud,1
442,Aleksandr Fyodorovich Makarov,1
443,Galina Vyacheslavovna Malchugina (Mikheyeva-),1
444,Doris Maletzki (-Brachmann-),1
445,Bronisaw Malinowski,2
446,Stefano Malinverni,1
447,Wiesaw Jan Maniak,1
448,Ralph Vernon Mann,1
449,Madeline Manning-Jackson (-Mims),2
450,Lia Manoliu (-Raica),2
451,Bruno Marie-Rose,1
452,Viktor Fyodorovich Markin,2
453,Khristo Ganchev Markov,1
454,Lisa Frances Martin-Ondieki (-O'Dea),1
455,Michele Mary Mason-Brown,1
456,"James Randel ""Randy"" Matson",2
457,"Kenneth Joseph ""Ken"" Matthews",1
458,"Vincent Edward ""Vince"" Matthews",2
459,"Elizabeth ""Liz"" McColgan (Lynch-, -Nuttall)",1
460,Walter Lee McCoy,1
461,"Michael Anthony ""Mike"" McFarlane",1
462,Edith Marie McGuire (-Duvall),3
463,Antonio Ricardo McKay,3
464,"Michael James ""Mike"" McLeod",1
465,Kathy Laverne McMillan (-Ray),1
466,Gheorghe Megelea,1
467,"Gregory ""Greg"" Meghoo",1
468,Petra Meier-Felke,1
469,Faina Grigoryevna Melnik (-Veleva),1
470,Argentina Menis,1
471,Pietro Paolo Mennea,3
472,Adrian Peter Metcalfe,1
473,Ulrike Meyfarth (-Nasse),2
474,Ingrid Mickler-Becker (-Inglau),2
475,Anatoly Arkadyevich Mikhaylov,1
476,"Rodney ""Rod"" Milburn, Jr.",1
477,Lothar Milde,1
478,Lennox Valencia Miller,2
479,"William Mervin ""Billy"" Mills",1
